CLASS,SENTENCES,SNO
B,"ا عمران خان کو ان دنوں شیدے کو دور بھگا دینا چاہیے جب ,اسکے بیٹے پاکستان میں ہوں ، یہ چھڑے چھانٹ اخلاقی گراوٹ کا شکار ہوتے ہیں ۔ ",24
C,"فتح حق اورسچ کی ہوئی،الطاف حسین کورابطہ کمیٹی کی مبارکباد ۔ ",25
B,"ﺍﻧﻘﻼﺏ ﮐﺎ ﺍﯾﺠﻨﮉﺍ ﻧﮧ ﺑﺪﻻ ﮨﮯ ﻧﮧ ﺑﺪﻟﮯ ﮔﺎ، ﮐﯿﺌﺮﭨﯿﮑﺮ ﺣﮑﻮﻣﺖ ﺑﮭﯽ ﻗﻮﻣﯽ ﺣﮑﻮﻣﺖ ﺑﻦ ﺳﮑﺘﯽ ﮨﮯ ﻣﮕﺮ ﻣﮏ ﻣﮑﺎ ﻭﺍﻟﯽ ﺣﮑﻮﻣﺖ ﻧﮩﯿﮟ ﭼﺎھتے ۔طاہر القادری ",26
B,"۔ تحریک انصاف ضمنی انتخابات میں حصہ نہیں لے گی،ترجمان شیریں مزاری۔ جی ہان مگر قبضہ مافیا اور لوٹوں کی حمایت ضرور کرے گی ",27
C,تمام مسلمانوں کو نیا اسلامی سال مبارک ہو۔ ,28
A,"جو بُرائی کو نہیں پہچانتا ، وہ زیادہ قریب ھے کہ اُس میں واقع ھو جائے ۔ سیدنا عمر فاروقؓ ",29
A,جو ھو سکے تو تنہائیوں میں پڑھ لینا تمہارے لئے دل کی کتاب لایا ھوں ۲/۲ ,30
A,اصلی صرف طالبان / لشکر جھنگوی ہیں اصلی اور خالص ,31
C,وینا ملک کا بیٹا سوشل میڈیا پر مقبولیت میں شلپا شیٹھی کے بیٹے سے آگے : کراچی۔۔۔۔۔۔۔۔۔ وینا ملک کے بیٹے ابرام خان۔۔۔ ,32
C,جس کو اللہ کے نبی ﷺ نے شہادت کی خوشخبری دیدی۔ ,33
B,اسلام آباد: چیرمین تحریک انصاف عمران خان کا کہنا ہے کہ محرم الحرام آنے کے باوجود ہم اسلام آباد سے نہیں جائیں گے ۔۔۔ ,34
B,"ڈیزل خان نے تمبو میں اکیلا رہنے کی پیشن گوئی کر دی ، ناکام ڈیزل خان ",35
B,ﺍِﮎ ﻧﺌﯽ ﻃﺮﺯ ﮐﺎ ﮐﺮﺩﺍﺭ ﺩﯾﺎ ﺟﺎﺋﮯ ﮔﺎﺍﺱ ﮐﮩﺎﻧﯽ ﻣﯿﮟ ﻣﺠﮭﮯ ﻣﺎﺭ ﺩﯾﺎ ﺟﺎﺋﮯ ﮔﺎ !! ,36
B,جس قسم گندے الفاظ فضلو نے دھرنے کی خواتین کے بارے میں استعمال کئے اس پر تمام سیاسی اور مزھبی جماعتوں کو انکا بائکاٹ کرنا چاہئے ,37
B,"ﻋﺎﻟﻤﯽ ﺍﺳﺘﻌﻤﺎﺭ ﺍﻣﺮﯾﮑﺎ ﻭ ﺍﺳﺮﺍﺋﯿﻞ ﺍﻭﺭﺍُﻧﮑﮯ ﻧﻤﮏ ﺧﻮﺍﺭ ﺳﻌﻮﺩﯼ ﻋﺮﺏ ﮐﮯ ﺳﯿﻨﮯﻣﯿﮟ ﺧﻨﺠﺮ ﮐﯽ ﻣﺎﻧﻨﺪ ﻣﺎﮦ ﻣﺤﺮﻡ، ﺻﻔﺮﺍﻭﺭ ﺭﺑﯿﻊ ﺍﻻﻭﻝ۔۔۔ ",38
B,حق پرست رکن سندھ اسمبلی سمیتا افضال کی علالت پر جناب کا اظہار تشویش ,39
C,ایم کیوایم ڈسٹرکٹ ملتان کے صدر ذیشان دلاور قریشی کی والدہ محترمہ کے انتقال پر رابطہ کمیٹی کااظہار تعزیت via ,40
A,اتنا کام پڑا ہے اور میں کھیل رہی ہوں اردو کی بورڈ سے ,41
B,محسن طلوع ماہ محرم کے ساتھ ہیہر دل مثال شہر خموشاں اداس ہے ,42
A,جنوبی پنجاب کا سارا پیسہ صرف لاہور پہ لگتاہے تب کوئی پٹواری نئیں کہتا کہ واقعی انہیں حق دو گجرات یونیورسٹی کا دکھ ہے ,43
C,ایم کیوایم کے قائد الطاف حسین کی تصنیف ’’فلسفہ محبت ‘‘ کے انگریزی ترجمہ کی تقریب اجراء 24اکتوبر جمعہ کی شام میریٹ ہوٹل میں منعقد ہوگی ,44
C,کھیل اور نماز الگ الگ ھیں اپ زرا پڑھا کریں ۔مینڈک اچھے نھیں ھوتے !! ,45
C,"دبئی، پہلا ٹیسٹ: آسٹریلیا کے خلاف پاکستان کی دوسری وکٹ گرگئی: ",46
C,"سردار بنے سے پہلے علم حاصل کرو، کہیں ایسا نہ ہو کہ سرداری کا غرور تمہیں طلبِ علم سے روک دے اور تم جاہل بن کر زندگی گذارو ۔ سیدنا عُمر فاروقؓ ",47
B,اور دس نارمل فیصل عابدییے رحلت فرماویں تو ایک جعفر پیدا ہوتا ہے ۔ ,48
B,ایم کیوایم کا آزاد کشمیر حکومت سے علیحدگی کا اعلان اسکے ساتھ ہی حکومت سے اندر باہر ہونے کا عالمی ریکارڈ بھی بنا ڈالا۔ سیاسی لطیفے ,49
B,مشرقِ وسطیٰ میں امریکا اپنی ہی پالیسیوں کے نتائج بھگت رہا ہے ۔ ,50
B,"اوہ معذرت، بے دھیانی، کئی مہینوں بعد فون سننا پڑ گیا دماغ ہی بند ہوگیا، عادت نہیں فون پر بات کرنے کی :پ ",51
C,برطانوی فوج نے افغانستان میں آخری اڈاہ بھی خالی کردیا ,52
C,ڈات کے کهڑا هے آب عمر انٹهیک کرے گا سب کپتان نیاء بنے گا پاکستان نیاء بنے گا پاکستان انشاء آللہ ,53
C,کون ديکھے گا اب صليبوں پر صورتيں وہ پيمبروں جيسی ميری دنيا کے بادشاہوں کی عادتيں ہيں گداگروں جيسی ,54
A,یہ اُڑی اُڑی سی رنگت یہ کُھلے کُھلے سے گیسو تیری صبح کہ رہی ہے تیری رات کا فسانہ! ,55
C,جو چیز ﷲ نہ دے بندوں سے نہیں مانگنا چاہیے ۔۔ ,56
A,تو میں کب کہہ رہا ہوں ایساوہ تو صحیح اور غلط کی لڑائی تھی ,57
B,مار دیا جائے ک چھوڑ دیا جائے بول تیرے ساتھ کیا سلوک کیا جائے ,58
C,شہباز شریف نے جھنگ کے سیلاب زدگان کو چیک دئے تھے ۔ وہ کل باونس ہو گئے ۔ ,59
B,سر جی وہ بھی بنتی یے مگر یہ چاٹی کی لسی سے بنوائی ہے کھٹی کھٹی ,60
B,پہلا ٹیسٹ: آسٹریلیا کیخلاف پاکستان کی بیٹنگ جاری ,61
A,ہاں یہی احساس پیدا کرنا ہے ,62
C,حضرت مولانا محمود اشرف عثمانی صاحب مدظلہ حاجیوں کیلئے چند ھدایات ,63
C,انصافی ٹائگر - عمران خان کے معذور افراد کے ساتھ گزرے سب سے قیمتی۔۔۔ ,64
C,غم کے لاکھوں دکانداروں سے اک تبسم فروش بہتر ہے ,65
C,مشرف کے دوست شیرافگن نے کہا تھا کہ فضل الرحمن کواس شرط پر اپوزیشن لیڈر بنایا گیا تھا کہ وہ مشرف کی پالیسیوں کی حمایت کریں گے ڈیزل کی اصلیت ,66
B,میں ابھی باہیک پر مری روڈ راولپنڈی سے آیا ھوں ۔ میٹرو کے کام کی وجہ سے مری روڈ پر بہت زیادہ گرد و غبار ھے ٹریفک کا جام رہنا معمول ھے ,67
B,بلدیاتی انتخابات میں التوا کا ذمہ دار الیکشن کمیشن ہے :عمران خان ,68
C,"میرے پاس جن ہیں جو امریکا ،یورپی پارلیمنٹ کے بل لے آتے ہیں ،قادری: لاہور۔۔۔۔۔۔۔حکومت اور عوام ۔۔۔ ",69
C,پشاور: حزب اختلاف کی جانب سے محمد علی شاہ کا نام سامنے آیا۔ ,70
A,ٹی وی سے فوٹو کیوں کھینچ رہیں ۔ گوگل کرکے تصویر لگا دیں :) ,71
C,مبارک ہو۔ ہمیں آپ پہ فخر ہے ۔الله آپکو مزید کامیابیاں عطا فرمائے ۔آمین ,72
A,"حُقے کی انگلش کیا ہے ، ساتھ یہ بھی بتائیے کہ گٹکے کو انگلش میں کیا کہتے ہیں ۔ ",73
B,خدانخواسته عمران خان تیرے گھر گھس گیا تو کیا هو گا اس کی تصویر بھی لگا دو ,74
C,بھائ نہ جھک مارو نہ حق بس تمیز سے زندگی گزارو ,75
A,ھائے کیا چیز ھے محبت بھی ۔۔۔۔۔۔۔۔ ,76
C,ایرانی دہشتگرد امین شہیدی نے 30 اگست کو اسلام آباد میں مولانا فضل الرحمن سے انتقام کا اعلان کیا تھاوہی ہوا۔۔ بس الله نے مولانا کو بچا لیا ,77
C,حدیثا الله کاذکر ایمان کاجھنڈا شیطان سے حفاظت کا قلعه اور بھڑکتی آگ (نارجهنم) سے نجات کاذریعه ھے )گلدستهء فقر صفحه118( ,78
C,"ایکس نیوز۰ محرم الحرام،ایکس نیوز کی جانب سے تمام مسلمانوں ",79
C,اردو ٹرینڈ زیادہ بہتر رہے گا کپتان ڈیزل ,80
B,"بنوں میں مکانات کے کرائے بڑھ گئے ،متاثرین بکاخیل کیمپ جانے پر مجبور ",81
C,ﻭﺍﮦ ﮐﯿﺎ ﺑﺎﺕ ﮨﮯ ,82
B,شیخ جیسا بے شرم جسے میں اپنا چپڑاسی بھی نہ رکھو۔سچ ہی تو کہا ہے چپڑاسی نہیں رکھے گا پارٹنر بنائے گا۔ ,83
C,حلقہ خواتین کے تحت ملک بھر میں اجتماع عام کے سلسلے میں بریفنگ اور ملاقاتوں کا سلسلہ جاری ,84
A,میں چاھتا بھی یھی تھا تو بے وفا نکلے ۔تجھے سمجھنے کا کوئی تو سلسلا نکلے !! ,85
A,عمران بھائی اپ کے لطیفوں پر تو اب لوگ کا فی زور کا ہنستے ہیں ۔ آپ اپنے شوز کا ٹکٹ لگا لیں پیسے مل جائیں گے اور مانگنے کی شرمندگی بھی نہ ہو گی ,86
C,تین چیزیں محبت بڑھانے کا ذریعه ھیں )1( سلام کرنا )2( دوسروں کے لیے مجلس میں جگه خالی کرنا )3( مخاطب کو بھترین نام سے پکارنا )حضرت عمر ( ,87
C,وقت کا تقاضا ہے کہ وسائل کی منصفانہ تقسیم کے لیے انتظامی بنیادوں پر صوبے بنائے جائیں ۔ انھیں مالی وسیاسی اختیارات دئے جائیں ۔ وفاق مشترکہ وحدت بنے ۔ ,88
C,لاہور: اگلے جلسے سے پہلے واپس آجائیں گے ۔ ,89
B,جناب اسپیکر آج سے نون لیگ کو منافق لیگ کا نام دیا جائے کیونکہ نون لیگ نے سچ تو کبھی بولنا نہیں ,90
A,مک جائے نام تیرا سیاست کے فسانے سے تیرا رونا ہی بنتا ہے زمانے میں - ,91
B,بھنگ کا نشہ ہے کہ اترتا ہی نہیں ہے ۔۔۔۔۔۔۔۔۔ ,92
C,"کشکول توڑنے کا دعویٰ پاکستان کو قرضوں میں ڈبو گیا۔غیر ملکی قرضے 65 ارب ڈالر سے تجاوز۔ ہر پاکستانی 80،000 سے زائد روپے کا مقروض۔ قرضے 1600 کھرب تک پہنچ گئے ",93
A,ایسا آسان حدف۔ بچوں والا میچ ہو گیا یہ تو۔ ہا ہا ہا ہا ہا ,94
B,ﺍﺳﺘﯿﻌﻔﯽٰ ﻣﺎﻧﮕﻨﮯ ﻭﺍﻟﮯ ﭼﻨﺪﮦ ﻣﺎﻧﮕﻨﮯ ﭘﺮ ﺁﮔﺌﮯ۔۔۔ ,95
B,مریم نواز کی بحیثیت چیئرپرسن یوتھ لون اسکیم تقرری پر وفاقی حکومت سے جواب طلب: ہائی کورٹ نے … ,96
B,لے دس میں سائیکو ہوتی تو اج خان کی طرح چندہ گن رہی ہوتی ,97
C,انقلاب کی لغت میں مایوسی اور بے یقینی نہیں ہوتی۔ ڈاکٹر طاہر القادری انقلاب آنے کو ہے ,98
A,رَبَّنَا وَتَقَبَّلْ دُعَاءاے میرے رب اور تو میری دُعا قبول فرما آمین یا رب العالمین ,99
C,متروک مسترد کاسہ لیسوں کی کسی بھی مارچ کی حمایت کرنا تاریخی جرم ہوگا متروک-مسترد-کاسہ-لیسوں -کی-کسی-بھی-مارچ-ک/ ,100
B,"پی آئی اے کو ایندھن کی ترسیل بحال رکھنا مشکل ہوگیا، پی ایس او: کراچی۔۔۔۔۔۔۔۔۔۔پی ایس او نے پا۔۔۔ ",101
C,لاہور: بڑا ہسپتال نہیں سیالکوٹ اور ہارون آباد میں چھوٹے یونٹس بنا رہی ہوں ۔ میرا ,102
A,ان ہتھیاروں پر پابندی لگائی جائے :دوستوں کے ساتھ ضرور شئیر کریں ۔ شکریہ۔۔۔ ,103
B,عمران خاں زنا اور اپنے ناجائز بچوں کو پرائیویٹ معامله کھتا ھے کیا ایسے شخص کے پیچھے قوم کو چلنا چاھیے ,104
B,"لوٹ آنے کی امیدیں ٹوٹ پائی هی نهیں بند هو پائے نهیں هیں اب بهی در، کهنا اسے (ملک عدنان احمد) ",105
B,غذائی قلت کا شکار مزید دو بچے سول اسپتال مٹھی میں دم توڑ گئے : تھر پارکر۔۔۔۔۔۔۔۔تھر پارکر میں غذائی قلت کا شکار م۔۔۔ ,106
B,سٹی ٹریفک پولیس نے رواں ماہ کے دوران مجموعی طورپردوسوبارہ مقدمات درج کرائے ,107
C,ﻣﺎﺩﺭ ﺟﻤﮩﻮﺭﯾﺖ ﺑﯿﮕﻢ ﻧﺼﺮﺕ ﺑﮭﭩﻮ ۔ﮧﺒﺣﺎﺍﯾﺮﺍﻥ ﮐﯽ ﺑﯿﭩﯽ ﻧﺼﺮﺕ ﺑﮭﭩﻮ ﭘﺎﮐﺴﺘﺎﻥ ﮐﯽ ۔۔۔ ۔ﯽﻨﺑ ﮞﺎﻣﺍﻧﮩﻮﮞ ﻧﮯ ﺳﻘﻮﻁ ﮈﻫﺎﮎ ﮐﮯ ﺑﻌﺪ ﺑﮑﻬﺮﮮ۔۔۔ ,108
C,"مولانا فضل الرحمن سے ملاقات کیلئے گورنر پنجاب، وفاقی وزراء، مشیروں اور مذہبی رہنماؤں کا تانتا بندھارہا ",109
C,انشا جی اٹھو اب کوچ کرو اس شہر میں جی کا لگانا کیا ہاہاہا اور یہ کہ کر قادری صاحب شہر اقتدار پر بہت بڑا احسان کر گے ,110
A,لوگوں سے دھرنے کے لیے چندہ مانگنے والا اپنا 300 کنال کا بنی گالہ کا گھر کیوں نہیں پیج کر دھرنے خرچے پورے کرتا؟ ,111
C,اردو لغت میے نیا لفظ ,112
C,"دبئی: چوتھے دن کا کھیل ختم، آسٹریلیا کے 59 رنز، 4 کھلاڑی آئوٹ ",113
B,شامی صاحب تو ایڈیٹر اور تجزیہ نگار ہیں میں رپورٹر ہوں جو اینٹ اٹھاتا ہوں بڑے بڑے کرپشن سکینڈل نکلتے تو میں جذباتی کیوں نہ ہوں :رؤف کلاسرا ,114
C,قادری ﮐﺎ ﮐﻨﭩﯿﻨﺮ ﻇﮩﯿﺮ ﺍﻻﺍﺳﻼﻡ ﮐﻮ ﺍﻧﮑﯽ ﺭﯾﭩﺎﺋﺮﻣﻨﭧ ﮐﮯ ﭘﺮﻣﺴﺮﺕ ﻣﻮﻗﻊ ﭘﺮ ﺑﻄﻮﺭ ﺳﻮﯾﺌﻨﯿﺮ ﭘﯿﺶ ﮐﯿﺎ ﺟﺎﻧﺎ ﭼﺎﮬﯿﮯ ,115
B,"اسلام آباد: مولانا فضل الرحمان پر حملے کے خلاف کل ملک بھر میں یوم مذمت منایا جائے گا، علامہ محمد احمد لدھیانوی"" ",116
C,حنیف محمد کے پوتے شہزر محمد نے پاکستان کرکٹ میں پی آئی اے کی طرف سے سنچری بنا کر ریکارڈ بک میں اپنا نام منفرد تعارف کے طو پر درج کرا دیا ,117
B,اس ملک کو بدنام کرنے میی لفافہ صحافت نے باقی کسر پوری کردی ,118
B,"ایدھی سنٹر ڈکیتی: مرکزی ملزم سابقہ ملازم،2 گرفتار: کراچی ۔۔۔۔۔ شہر قائد میں ایدھی ٹرسٹ کے ہیڈ آفس میں ڈکیتی کرنے … ",119
B,جس عہد میں لٹ جائے ایدھی کا چندہاس دور کا حاکم ہے کوئ گنجا ,120
C,کراچی۔۔۔۔۔۔۔ سندھ ہائیکورٹ نے بحریہ ٹاؤن کلفٹن فلائی اوور کے خلاف حکم امتناع ختم کرتے ہوئے بحریہ ٹاؤن کو تعم۔۔۔ ,121
C,تمام اہل اسلام کو نیا اسلامی سال مبارک ہو ۔الله پاک یہ سال ہمارے لیئے رحمتوں اور برکتوں کا باعث بنائے ہمارے حال۔۔۔ ,122
C,بہت سے داغی آئے اور گئے لیکن کپتان اب بھی قوم کے ساتھ اسی جذبے سے کھڑاھے ,123
C,ریالٹی تو یہ ہے ہمارے دونوں انقلابی گو نواز گو اور جلسوں کو اپنی کامیابی قرار دے رہے ہیں ۔یہ دونوں کام تو ان دھرنوں کے بغیر بھی ہو سکتے تھے ,124
C,بالآخر تیری مصروفیت کے پیش نظریہ تہہ ہوا کے اب تجھے یاد نہ کیا جائے ,125
C,پھلا ٹیسٹ پاکستان اسڑیلیا کے خلاف ٹاس جیت کربیٹنگ کافیصله خضربلوچ ,126
C,تو کٹڑ مسلمان بن جا بھائی ,127
C,خواجہ عمران نذیر نے مریضوں سے علاج معالجے کی سہولتوں سے متعلق دریافت کیا ,128
C,"وہ جو بیچتے تھے دوائے دل،،، وہ دکان اپنی بڑھا گئے ۔ شاہراہ دستور سے عوامی تحریک کے کارکنوں کی واپسی،، سی ڈی اے نے صفائی مہم شروع کردی ",129
C,لاہوریوں نے اجتماع عام کے لیے دل کے دروزے کھول دیے ۔ ڈونرز کانفرنس میں ڈیڑھ کروڑ سے زائد رقم جمع کروا دی ,130
A,عیش کرو۔۔کم پڑجائے تو بکرے کا سر بھی ہے ,131
A,ابھی تو پارٹی شروع ہوئی ہے ,132
C,سائن آوٹ کرو اور کوئی اچھی سی کتاب پڑھو۔آپ زیادہ آوٹنگ نہیں کرتے شائد۔ ٹویٹر سے باھر بھی نکلا کرو ۔ ,133
A,جس عہد میں لٹ جائے فقیروں کی کمائی ۔۔۔اس دور کے سلطاں سے کو ئی بھول ہو ئ ہے ۔۔۔ ,134
A,عوامی تحریک کے رہنماء کی کارکنوں کو آبائی علاقوں میں جا کر بلدیاتی انتخابات کی تیاری کرنے کی ہدایت ,135
B,ایک کڑوڑ ستر لاکھ معذور افراد کو معاشرے نے بلکل دھتکارا ہوا ہے ۔۔۔۔۔بہت افسوس کی بات ہے ,136
B,ہر کچھ عرصے بعد انقلاب کے نام پر یہ ناٹک اس خوف کے پیش نظر رچایا جاتا ہے کہ عوام کہیں حقیقی انقلاب کے لئے ہی کھڑے نہ ہو جائیں ۔ ,137
A,حضرت عمرؓ کی شان زاہدانہ ,138
B,استعفیٰ کی بعد تو ہم پارلیمنٹ سے ہی باہر ہو جائیں گے قادری کی طرح ہمیں شرپسند عناصر کہا جائے گا ,139
A,اس کی خاطر ھم نے اس کو چھوڑ دیا ,140
C,فقیر وہ ہے جو اپنی غلطیوں پر اپنا احتساب کرے اور دوسروں کی اچھائیوں پر نظر ؟؟کھے نا کے دوسروں کو گالیاں دے اور خود کو فرشتہ سمجھے ,141
C,عوامی تحریک کے سربراہ ڈاکٹر طاہر القادری کا واپس کینیڈا جانے کا فیصلہ ,142
C,نواز شریف کی بھارت کے بعد اسرائیل کو خوش کرنے کی کوشش حکومت کی ناک کے عین نیچے اسرائیلی اسٹال ,143
B,"’’وہ‘‘چلاجائے ،’’ہم‘‘ آجائیں ،دھرنے والوں کیلئے یہی تبدیلی ہے ،حاصل بزنجو ",144
C,سوشل میڈیا پہ تو ہر کوئی کچھ بھی کہہ لیتا ھے اگر آپ احمدیوں کے لئے پرنٹ یا الیکٹرونک میڈیا پہ آواز اٹھائو تو بات اے ,145
B,فقیری اچھی پروہ جوآپ کولوگوں سے بے نیاز کردے نا کے وہ فقیری جس میں آپ لوگوں کی نیاز کے ہوں محتاج اور ہاتھ پھیلاتے پھریں سب کے سامنے ,146
A,"هم اپنے حصے کا پاکستان ساتھ لائے ، پهلے پاکستان بنایا پهر یهاں آئے ، خواجه اظهار ایم کیو ایم ",147
B,گوجرہ میں قتل اور ڈکیتی کے گرفتار ملزمان کی نشاندہی پر اسلحہ برآمدپولیس نے قتل اور ڈکیتی کے گرفتار ملزمان کی۔۔۔ ,148
B,گو نواز گوگو قادری گوگو شہباز گوگو ذرداری گوگو بلاول گوگو ۔۔۔ ,149
B,ایم کیو ایم کا ملک گیر یوم سیاہ۔۔۔۔ ,150
A,لگتا ھے مونس الٰہی کو قادری صاحب نے خصوصی دعا سے نواز دیا ھے ۔ ۔ :) ,151
B,لاہور: چھاپہ مار ٹیم نے موقع سے مردار گوشت ھی برآمد کرلیا۔ عائشہ ممتاز ,152
C,خدا کے لیے کوئی کینڈی کرش ساگا گیم کھیلنے کے لئے جو لوگ مجھ کو انوائیٹ کرتے ہیں ان سے جان چھڑوائے خدا لئے ۔۔۔ ,153
A,کیاعمران خان صرف ٹوئٹر اور فیس بک پہ وزیر اعظم بن سکتا ہے ؟ ,154
B,"تھرپارکر میں 21 دنوں میں 22 بچے غذائی قلت سے جاں بحق، سندھ حکومت غافل ",155
A,بھائی کیا کہیں چاہ ہی ختم ہو گئی ہے ۔ ,156
C,لاہور: میٹروبس پر ۳۰ ارب خرچ ہوئے ۔ ,157
B,"میں تحریک انصاف اور عوامی تحریک کے کارکنوں سے کہتا ہوں کہ اگر ہم سے کوئی سے کوئی بھی پیچھے ہٹے اسے چھوڑدینا، اگر ۔۔۔ ",158
C,عوامی ٹیکسوں سے حاصل ہونے والا پیسہ سیاسی مقاصد کے لئے استعمال نہیں کیا جاسکتا : لاہور ہائیکورٹ ,159
B,دولت واقعی آزمائش ھے ۔ اساتذہ اور تحقیق کرنے والوں کیلئے ھمارا بجٹ صرف 10 ھزار ھوتا ھے جبکہ ساوں ڈ سسٹم والے ڈی جے کیلئے ستائیس لاکھ :)انصاف ,160
A,جب تک ذندہ ہوں یہیں بیٹھوں :پاکستان خان وطن کی مٹی مجھے ایڑیاں رگڑنے دے مجھے یقین ہے کہ چشمہ یہیں سے نکلے گا ,161
B,ﺍﮮ ﺁﺭ ﻭﺍﺋﯽ ﺩﯾﮑﮫ ﮐﺮ ﻣﯿﺮﮮ ﭘﺎﭘﺎ ﮐﻮ ﻣﺮﮔﯽ ﮐﮯﺩﻭﺭﮮ ﭘﮍﺗﮯ ﺗﮭﮯ ﻣﺒﺸﺮﻟﻘﻤﺎﻥ ﮐﻮ ﺩﯾﮑﮫ ﮐﺮ-- ﺣﻤﺰﮦﮐﻮ ﻟﻘﻮﮦ ﮨﻮ ﺟﺎﺗﺎ ﮨﮯ-- ﻣﺮﯾﻢﮔﻠﻮ ﺑﭩﻨﯽ ,162
A,تمہارے پاؤں میں رکھ دی ہے شاعری اپنیکسی کو کون یوں اپنی کمائی دیتا ہے ,163
B,اللہ آپ کا بھلا کرے ۔ یہی حضرت ہیں ۔آج بھی اسی حلیے میں تھے ۔ یہ فیصلہ کرنامشکل تھاکہ بدبوکامرکزکچراتھایا ان صاحب کے کپڑے ,164
A,کیا کوئی دوست پاکستان کے ٹیسٹ میچ کے بارے میں بتا سکتا هے ۔ ساتھ ٹائم لازم لکھنا ,165
B,"بریکنگ :- کراچی:ملزم سلیم کو پولیس گرفتارنہیں کرسکی،پولیس ذرائع ",166
B,طریقه تو غلط هے اوربدعت هے مگر طلاق پڑتی هے ,167
C,کھجور اور بلغم : بلغمی مزاج کے لوگ اگر دن میں پانچ کھجوریں کھائیں تو بلغم ختم ہوجاتی ہے ۔ ,168
A,دنیا گول هے چندے سے چندے تک کا سفر۔۔۔۔چندے سے انقلاب ,169
A,اللہ جانے وے ماہی تیرا پیار کی اے دل دی اوداسی نی جاندی ,170
C,"محرم الحرام کا چاند نظر آ گیا، یوم عاشورہ چار نومبر کو ہوگا ",171
B,": ایم کیو ایم کو منانے کی کوئی کوشش نہیں کی،رحمان ملک گویا اس بار خود ہی ذلیل ہو کہ واپس آ جاویں گے جیسے طاھر کینیڈوی ذلیل و رسوا ہو کہ آ گئے ",172
B,افسوس صد افسوس 6 ماہ کا ایان بھی چل بسا ,173
C,خاتو ن جج کو کمرہ عدالت میں کرکٹ سیکھنی پڑگئی ,174
C,سلیکٹرز ۔۔۔ یونس خان کی جانب سے ایک اور سینچری ,175
A,ظلم آ سدھو سانوو ,176
A,کبھی کبھی یوز کرتا ھوں ,177
